review_id,user_name,sentiment_confidence,negative_reason,negative_reason_confidence,airline_name,review_text,thumbup_count,review_coordinates,review_timestamp,review_city,user_timezone
569731104070115329,JasmineDT,1,,,Lufthansa,you're my early frontrunner for best airline! #oscars,1,,22/2/2015 21:30,Washington D.C. ,Eastern Time (US & Canada)
569263373092823040,ElizabethFrayer,1,Cancelled Flight,1,Qatar Airways,how is it that my flt to EWR was Cancelled Flightled yet flts to NYC from USAirways are still flying?,0,,21/2/2015 14:32,,
568818669024907264,The_Radifier,1,Late Flight,0.677,Singapore Airlines,what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,0,,20/2/2015 9:05,"Arlington, VA",Atlantic Time (Canada)
567775864679456768,rnlewisjr,1,,,Singapore Airlines,"do they have to depart from Washington, D.C.??",0,,17/2/2015 12:01,"iPhone: 60.495510,-151.064590",Alaska
568526521910079488,beantoon,0.6625,Customer Service Issue,0.3394,Singapore Airlines,I can probably find some of them. Are the ticket #s on there?,0,,19/2/2015 13:44,"Plymouth,  MA",
570008443626647552,kabell87,1,Can't Tell,0.3477,Emirates,still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here,0,,23/2/2015 15:52,,
568622671287566336,stephaniefoos,1,Cancelled Flight,0.6871,Emirates,Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,0,"[40.69522398, -74.1760931]",19/2/2015 20:06,"Boston, MA",Alaska
569076569983086592,theycallme_HH,1,,,Singapore Airlines,Thank you ! What about Paris ? Could we arrange something from there ?,0,"[0.0, 0.0]",21/2/2015 2:10,Orleans/Tarpon Springs/London,Amsterdam
568884344221081600,andreamvdlg,0.6869,Can't Tell,0.3434,Emirates,"not % sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",0,,20/2/2015 13:26,Edinbrah ,Eastern Time (US & Canada)
570119853312311296,GrahamHaigh,1,,,Qatar Airways,"great crew for flight PHX to YVR tonight! Friendly, efficient. Awesome job.",0,,23/2/2015 23:15,"Vancouver, Canada",Pacific Time (US & Canada)
570303720308809728,jhazelnut,1,Customer Service Issue,1,Qatar Airways,I've been on hold to change a date on a ticket for over hours. Can someone please assist me? Unacceptable.,0,,24/2/2015 11:26,,
569184833361936387,BavarianLin,0.6843,,0,Lufthansa,I DM'd you,0,"[30.26196639, -97.75945775]",21/2/2015 9:20,New Jersey / Munich,Eastern Time (US & Canada)
568572506300243968,walterbiscardi,1,,,Lufthansa,Already signed up! Thanks! Looking forward to trying the Southwest experience.,0,,19/2/2015 16:47,Atlanta,Eastern Time (US & Canada)
568975192615223296,mmillanjr,0.6535,,0,Lufthansa,it was,0,,20/2/2015 19:27,,
569332237138841600,MattClement,0.3502,,0,Qatar Airways,Oh well. I'll get to Cancun eventually.,0,,21/2/2015 19:05,"Troy, NY",Eastern Time (US & Canada)
569346960181870592,EllenFord,1,Bad Flight,0.6667,Qatar Airways,flight passengers stuck on plane in Philly. Where is the gangway? We can't hear the pilot,0,,21/2/2015 20:04,"Gloucester, MA",Quito
570240246719381504,dianafakhouri,1,Lost Luggage,1,Qantas,"No, had already waited an hour for it and wanted to get home.",0,"[0.0, 0.0]",24/2/2015 7:14,"Chicago, IL",Eastern Time (US & Canada)
569994045205803009,itspr1,0.7047,,0,Lufthansa,thanks for the quick response. Should I call daily it wait the days.,0,,23/2/2015 14:55,,Pacific Time (US & Canada)
569587048811761664,emilybholan,1,Can't Tell,0.3516,Singapore Airlines,now we dont have enough money for parking in your garage this is your fault and im not paying for what should be mins into hrs,0,,22/2/2015 11:58,N Y,
568944962311626752,BillyKace,1,,,Singapore Airlines,at LGB in Sunny So Cal http://t.co/VPKDSi,0,"[33.8117407, -118.1628]",20/2/2015 17:27,,Pacific Time (US & Canada)
569598991463268352,otisday,0.7257,Flight Attendant Complaints,0.3919,Qantas,When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?,0,,22/2/2015 12:45,Pekin,Eastern Time (US & Canada)
568424902287446016,yippersNY,1,Flight Attendant Complaints,0.6531,Singapore Airlines,"No, he didn't have more info. I was more infuriated by the way previous rep treated me. how she can possibly work as a JetBlue rep?",0,,19/2/2015 7:00,,
568803218488033282,Selcukatli,1,Customer Service Issue,1,Emirates,is a money sucking airline with terrible terrible customer service,0,,20/2/2015 8:03,San Francisco,Eastern Time (US & Canada)
